Name,link,Types of Speaking,Working In,Job Title,Country,Industry,Social Media Links,About
Anamaria Meshkurti,https://platform.southsummit.co/event/south-summit-2023/person/RXZlbnRQZW9wbGVfMTgyNzA1NTg=?openConnection=true,Speakers,Investor,Head,Switzerland,"Artificial Intelligence
Cyber Security
Virtual Reality",['https://www.linkedin.com/in/anamaria-meshkurti/'],"AnaMaria Meshkurti is the Head of Marketing, Communications and Engagement at the FONGIT (Fondation Genevoise pour l’Innovation Technologique), the premier Swiss technology startup innovation platform and incubator. Aiming at achieving positive social and economic impact, FONGIT supports startups in the technology sector who are based in Geneva or want to set up their headquarters in the canton. She is a seasoned startup mentor and judge for startups focusing on emerging technologies including AI, IoT, Blockchain, XR and the Metaverse. She has been a guest judge in many events such as the Experience Accelerators Future of work hackathon and the UN AI for Good Global Summit Innovation Factory. 
Previously she worked for the United Nations (UN), as programme officer in the UN International Telecommunication Union (ITU) Office for Europe, in charge of digital inclusion, skills, gender, youth, accessibility and innovation matters with European governments. During her time with the ITU Standardization Sector, she conceptualized and managed the ITU Smart Incubator programme for emerging tech start-ups in developing countries as well as oversaw ITU-T's non-statutory events including workshops, seminars and forums. She also led trainings for the Bridging the Standardization Gap programme, supporting ITU delegates in the standardization process and worked with various groups on the topic of Fintech, Artificial Intelligence, Blockchain, Internet of Things and more. She was instrumental to the delivery of the European Impact Summit 2020 as part of the Advisory Board of the Young Presidents Organization (YPO). 
She is a communications professional with a strong background in public relation and engagement, tech start-ups, innovation, and digital skills. Prior to joining ITU she worked for the World Intellectual Property Organization (WIPO), as well as in various UK based NGOs. She holds diplomas in Business Administration (MBA), Marketing and Communications (MA) as well as International Relations and Global Governance (Bs). 
She is currently the Curator for the World Economic Forum (WEF) Global Shapers Geneva Hub, as well as Chapter Leader for the HULT International Business School Alumni Association of Geneva and part of the Global Hult Alumni Executive Board. She is also an angel investor and board member at Swiss Virtual Reality Startup VR4Business.ch. She is a speaker at many international events on topics related to innovation, digital skills, gender, youth, accessibility and standardization. She was awarded the UN ITU Innovation award and recognized as one of the top 100 Swiss Digital Shapers 2022."
Nityen Lal,https://platform.southsummit.co/event/south-summit-2023/person/RXZlbnRQZW9wbGVfMTc5MjczMzU=?openConnection=true,Speakers,Investor,"Director
Partner",The Netherlands,Green and Clean Tech Solutions,"['https://x.com/icoscapital', 'https://www.linkedin.com/in/nityen-lal-462287/']","Nityen Lal co-founded Icos Capital in 2005 with the goal to invest in technology startups that positive impact human beings & their environment. Since then, he has promoted several disruptive new climate tech innovations mostly against ambiguous market environments. Climate tech innovations are increasingly becoming more successful financially and, in their ability, to deliver substantial impact on climate issues. Nityen serves on the board of AI company Squirro and sustainable agriculture firm eAgronom"
Pablo Moro,https://platform.southsummit.co/event/south-summit-2023/person/RXZlbnRQZW9wbGVfMjIzOTAyMzc=?openConnection=true,Speakers,Investor,Director,Spain,"Connectivity
Fintech
Insurance
Sports
Telecom and IT Services","['https://www.linkedin.com/in/pablo-moro-casquete/', 'https://x.com/mcpablo82']","Head of Investments at Telefonica Ventures. Before, he was Head of Innovation at Mutua Madrileña and prior to that Pablo had several investment and BizDev roles in Wayra and Telefónica Spain."
David Ruidor,https://platform.southsummit.co/event/south-summit-2023/person/RXZlbnRQZW9wbGVfMjIzODc0NTA=?openConnection=true,Speakers,Startup,CEO,Spain,Fintech,"['https://www.linkedin.com/in/davidriudor', 'https://instagram.com/driudor', 'https://x.com/driudor']",Spanish Serial Entrepreneur focused on Fintech
CONCHA GUERRA,https://platform.southsummit.co/event/south-summit-2023/person/RXZlbnRQZW9wbGVfMjIzODc0NDU=?openConnection=true,Speakers,Corporation,Head,Spain,Service Provider,['https://www.linkedin.com/in/Concha%20Guerra'],"General Manager,"
Ignacio Garralda,https://platform.southsummit.co/event/south-summit-2023/person/RXZlbnRQZW9wbGVfMjIzODMyOTM=?openConnection=true,Speakers,Corporation,President,Spain,Insurance,[],"LICENCIADO EN DERECHO POR LA UNIVERSIDAD COMPLUTENSE DE MADRID

Mi carrera profesional siempre ha estado ligada al mundo financiero: primero como presidente de Bancoval, luego como uno de los fundadores de la primera empresa independiente de bancos y cajas dedicado a la inversión financiera, AB Asesores.

Desde 2003 formo parte de Mutua Madrileña, donde compagino la presidencia de la entidad con la presidencia de su Fundación.

Además del mundo financiero, me mueve el compromiso con el tercer sector. En 2001 fundé junto a Salvador García-Atance la Fundación Lealtad con el objetivo de analizar la transparencia y las buenas prácticas en las ONG y poder así apoyar el desarrollo de este sector en España."
Carlos Fernández Romay,https://platform.southsummit.co/event/south-summit-2023/person/RXZlbnRQZW9wbGVfMjIzODIzNDM=?openConnection=true,Speakers,Startup,Head,Spain,Advertising,[],Creative Director & Strategic Planning
Raul Hita Ortega,https://platform.southsummit.co/event/south-summit-2023/person/RXZlbnRQZW9wbGVfMjIzODIwMzc=?openConnection=true,Speakers,Startup,"CEO
CoFounder",Spain,"Data and Analytics
Makers technology
Marketing",[],Emprendedor digital desde hace 9 años
Angel Puertas Estivill,https://platform.southsummit.co/event/south-summit-2023/person/RXZlbnRQZW9wbGVfMjIzODI2NDc=?openConnection=true,Speakers,Startup,"CEO
CoFounder",Spain,Healthcare,[],"Angel Puertas is the co-founder and CEO of SeniorDomo, an advanced teleassistance service that provides 24/7 protection anywhere. He is a computer engineer and MBA with a specialization in entrepreneurship and innovation. With 15 years of experience in technology consulting, innovation projects, and digital transformation, Angel brings a wealth of expertise to his role.

SeniorDomo is a solution that has already been utilized by over 4,000 families throughout Spain and Italy. It is capable of detecting risk situations such as falls, irregularities in pulse readings, disorientation, and more. With its cutting-edge software, SeniorDomo can mediate emergency management within less than 24 seconds."
Francisco Martos,https://platform.southsummit.co/event/south-summit-2023/person/RXZlbnRQZW9wbGVfMjIzODEwMjY=?openConnection=true,Speakers,Other,C-Level,Spain,Software Development,[],"Francisco Martos is CGO and Co-Founder of Exponentia, with a long career in innovation and development projects. He is a telecommunications engineer and expert in new technologies. He also has experience in public funding, having been the director and founder of two important national consultancies."
GONZALO NIETO,https://platform.southsummit.co/event/south-summit-2023/person/RXZlbnRQZW9wbGVfMjIzODAzMzE=?openConnection=true,Speakers,Corporation,CEO,Spain,Power Generation,[],"Licenciado en Física por la Universidad Complutense de Madrid y MBA por Stern School of Business (New York University). Se incorporó al departamento de Desarrollo de Negocio de Ferrovial Servicios en 2004. Desempeñó funciones en varias compañías de la división gestionando y desarrollando negocios en varios países de Europa, América y Oriente Medio. Antes de su incorporación a la compañía, trabajó en McKinsey y Merril Lynch. En octubre de 2021 fue nombrado CEO de Ferrovial Infraestructuras Energéticas y Movilidad."
Sergio Daniel Ramirez,https://platform.southsummit.co/event/south-summit-2023/person/RXZlbnRQZW9wbGVfMjIzNzk0MTc=?openConnection=true,Speakers,Startup,Head,Italy,Data and Analytics,[],"MSc. Sergio Daniel Ramírez de la Vega - Food Sustainability Expert @Thimus 

Mr. Ramírez is a driven Sustainability Consultant that has a multicultural perspective on sustainable development. Sergio Ramírez has worked in global environments including Mexico, the UK, Ecuador, Japan, Perú, and the US. Being able to interact with diverse scenarios had made Sergio an empathic and professional consultant that delivers interdisciplinary solutions. Mr. Ramírez graduated with a Master in Science at the University of Leeds (UK) and is a member of the International Society for Ecological Economics and the Institute of Environmental Management and Assessment (PIEMA certification)."
Josep COMINCOLET,https://platform.southsummit.co/event/south-summit-2023/person/RXZlbnRQZW9wbGVfMjIzNzA2ODk=?openConnection=true,Speakers,Institution,Head,Spain,Healthcare,[],"Prof. Josep Comin Colet, MD, PhD

Director of the Cardiology Department, University Hospital Bellvitge, L'Hospitalet de Llobregat, (Barcelona).

Director of the South Metropolitan Barcelona Integrated Heart Failure Programme, L' Hospitalet de Llobregat (Barcelona).

Director of the BIO-HEART Cardiovascular Diseases Research Group, IDIBELL (Bellvitge Biomedical Research Institute), Hospitalet de Llobregat (Barcelona). 

Professor of Medicine, Department of Clinical Sciences, School of Medicine, University of Barcelona."
David Aganzo,https://platform.southsummit.co/event/south-summit-2023/person/RXZlbnRQZW9wbGVfMjIzNjc1MTA=?openConnection=true,Speakers,Institution,President,Spain,Sports,[],Ex professional soccer player. FIFPRO and AFE President.
Iker Casillas,https://platform.southsummit.co/event/south-summit-2023/person/RXZlbnRQZW9wbGVfMjIzNjc0MTE=?openConnection=true,Speakers,Investor,President,Spain,"Entertainment
eSports
Sports",[],"Ex professional football goalkeeper and national champion. He defended Real Madrid’s goal for 25 years, Spanish National Team member for more than 15 years which he captained lifting the World Cup in 2010 and two consecutive European Championships in 2008 and 2012.

He leads sportstech accelerator SportBoost, 10 companies in portfolio directly linked with sports. He is an active businessman in the new phase beyond football pitch."
Kike Levy,https://platform.southsummit.co/event/south-summit-2023/person/RXZlbnRQZW9wbGVfMjIzNjQzNjM=?openConnection=true,Speakers,Corporation,Manager,Spain,"Advertising
Artificial Intelligence
Entertainment
Virtual Reality","['https://instagram.com/kikelevy', 'https://x.com/kikelevy', 'https://www.linkedin.com/in/kikelevy', 'https://www.facebook.com/kikelevy']","Sport and Technology enthusiast with over 10 years of experience working in helping the Sports Industry navigate the changing digital landscape, with focus on content production, advertising and technology."
Fernando Rex,https://platform.southsummit.co/event/south-summit-2023/person/RXZlbnRQZW9wbGVfMjIzNjQ0MjQ=?openConnection=true,Speakers,Other,Partner,Spain,Telecom and IT Services,[],"Senior Executive with almost 25 years of international experience working for leading Consulting Companies, defining and implementing high value transformational solutions for clients in U.S, Europe, Asia, Africa and Latin-America. 

Joined NTT DATA in 2017, with the mission of defining and executing a new strategic plan for Network & Operations Business Line with a long-term vision, leading among others, 5G, O-RAN, InfraCo & Smart Operations initiatives and Centers of Excellence."
Emerson Kirk,https://platform.southsummit.co/event/south-summit-2023/person/RXZlbnRQZW9wbGVfMjIzNjExMDQ=?openConnection=true,Speakers,Investor,Investor,United States of America,Fintech,[],Principal at Gradient Ventures
Cristian Larrosa,https://platform.southsummit.co/event/south-summit-2023/person/RXZlbnRQZW9wbGVfMjIzNTk1MDM=?openConnection=true,Speakers,Corporation,C-Level,Argentina,"Fintech
Investment Solution
Music","['https://www.linkedin.com/in/cristianlarrosa', 'https://x.com/Cristianlarrosa', 'https://instagram.com/Iamcristianlarrosa']","Cristian is an expert in music financing, blockchain, fintech, DeFi & AI .He founded and leads Larrosa Music, a consulting company focused on financing and technology for the music industry, with Grammy awarded artistic divisions. He has raised over 16 million dollars to boost music financing in Latin America. Cristian is also an investor, consultant, and advisor in music asset projects, a professor in industry-related courses and master's programs and artist with 5 solo albums."
Ana Diaz,https://platform.southsummit.co/event/south-summit-2023/person/RXZlbnRQZW9wbGVfMjIzNTUyMTI=?openConnection=true,Speakers,Corporation,Manager,Spain,Payments,[],Communications Manager at Mastercard Spain and Portugal
Andrés Vicent,https://platform.southsummit.co/event/south-summit-2023/person/RXZlbnRQZW9wbGVfMjIzNTIyNTQ=?openConnection=true,Speakers,Investor,Partner,Spain,Fintech,"['https://www.linkedin.com/in/https://www.linkedin.com/in/andresdancausa/', 'https://x.com/AndresDancausa']","About
After an intense experience at Geneva I began work in a tech startup in Spain at the very beginning of iAhorro.com with a lean team of three people. After a couple of months’ work, the project enthused me. A year from then I became an associate and business development director for two years. 
In 2012 I was named CEO of the company, leading a 10 people team to more than 120 employees through a merger banking process never seen before in Spain during a financial downturn. iAhorro is now one of the leading Fintech companies in Spain with a team of more than 140 people, with a business figure that has grown by 200% in the last 3 years.

In February 2016 I begin my second challenging adventure in Education Industry as an entrepreneur in the digital world with great enthusiasm and will to create a positive impact around the world. I had the opportunity to blend my two main passions, Internet and Education founding Sofia Square Technologies. Unfortunately, we didn´t succeed but I understood one of the most important lessons in life: Pain + Reflection = Progress

In October 2018, I started in TheVentureCity. Our Dream is to find, and help to build Unicorns (actually Iwanacorns) around the Globe and that´s what we are doing!!!! 🚀 💪☘️"
Kamil Svec,https://platform.southsummit.co/event/south-summit-2023/person/RXZlbnRQZW9wbGVfMjIzNTEwMDc=?openConnection=true,Speakers,Corporation,Director,Spain,Other,[],"Leading the global people function in Telefonica Cybersecurity & Cloud Tech with 6000 employees in 20 countries. Czech by birth, Spanish by heart and Cosmopolita by mind."
Aranzazu Martin Pérez,https://platform.southsummit.co/event/south-summit-2023/person/RXZlbnRQZW9wbGVfMjIzNDk0NjQ=?openConnection=true,Speakers,Corporation,Director,Spain,Service Provider,['https://www.linkedin.com/in/https://www.linkedin.com/in/aranzazumartin/?originalSubdomain=es'],"Aránzazu works as Director of New Market Development, whose objective is to increase and consolidate Veolia's current activity in the fields of Energy and Waste. 
Aránzazu has worked for 7 years at Ferrovial, as well as in the public sector as Advisor to the Department of the Environment, Transport and Infrastructures of the Regional Government. She graduated from the Polytechnic University of Madrid as an Agricultural Engineer and PhD in Economics from the same University."
Carlos Ruisanchez,https://platform.southsummit.co/event/south-summit-2023/person/RXZlbnRQZW9wbGVfMjIzNDgzNTI=?openConnection=true,Speakers,Investor,Head,Spain,Telecom and IT Services,"['https://x.com/@carlosruisanchz', 'https://www.linkedin.com/in/https://www.linkedin.com/in/carlos-ruis%C3%A1nchez-p%C3%A9rez-30b444132/']","Carlos Ruisánchez has a degree in economics from the Complutense University of Madrid and has completed his studies at the SBE (School of Business and Economics) in Maastricht (Holland).

He is currently Head of scouting & Dealflow at Wayra Spain, Telefónica's open innovation hub. 

Previously he worked at Fundación JME (Project manager), JME Venture Capital, Seedrocket and Tetuan valley (Program manager and community builder) at Google for startups. Carlos has also been speaker at TEDx, Ignite and Cadena Ser, among others."
Javier de Pablo,https://platform.southsummit.co/event/south-summit-2023/person/RXZlbnRQZW9wbGVfMjIzNDc2ODI=?openConnection=true,Speakers,Investor,CEO,Spain,"Biology and Life Sciences
Real Estate",[],"Javier has been working in the real estate industry for more than 25 years, holding positions of responsibility in private equity, reits and proptech. Since the beginning of 2022, he has led the creation of MASID as the first completely private Life Sciences and Innovation hub in Spain."
Alfonso Ruiz de Ojeda Silva,https://platform.southsummit.co/event/south-summit-2023/person/RXZlbnRQZW9wbGVfMjIzNDY0MTM=?openConnection=true,Speakers,Investor,"Advisor
Associate
CEO
Chairman
Coach
CoFounder
Founder
Investor
Manager",Spain,"Aerospace and Aeronautics
Art and Design
Artificial Intelligence
Automotive
Big Data
Blockchain
Cloud
Communities and Events
Consumer and Ecommerce
Culture
Data and Analytics
Drones
Education
Entertainment
eSports
Fashion and Apparel
Fintech
Food Industry
Green and Clean Tech Solutions
Healthcare
Insurance
Investment Solution
Legal
Long-life Learning
Machine Learning
Makers technology
Marketing
Media and Communications
Medical Prevention and Diagnosis
Music
Other
Payments
Pets
Pharma and Drugs
Professional Training
Real Estate
Real Estate for B2C
Recruitment and Jobs
Retail
Retail for B2C
Service Provider
Social Impact
Social Networking
Software Development
Sports
Telecom and IT Services
Tourism
Transportation
Travel
Virtual Reality
Wellness",[],"Business Angel, Mentor, Entrepreneur, Consultant, Business Developer, Managing Partner, Trainer, Speaker, Coach …"
Lionel Elbaz,https://platform.southsummit.co/event/south-summit-2023/person/RXZlbnRQZW9wbGVfMjIzNDQ2NzY=?openConnection=true,Speakers,Startup,"CEO
Founder",France,"Artificial Intelligence
Healthcare
Machine Learning
Medical Prevention and Diagnosis
Social Impact","['https://instagram.com/drlionelelbaz', 'https://www.linkedin.com/in/lionel-elbaz-ba2455108/']","Doctor in Dental Surgery
Ex-COO of French DSO (20+ dental clinics)"
IRENE GÓME LUQUE,https://platform.southsummit.co/event/south-summit-2023/person/RXZlbnRQZW9wbGVfMjIzNDMxNjc=?openConnection=true,Speakers,Corporation,Director,Spain,Telecom and IT Services,[],"As Open Innovation Director at Telefonica Group, Irene has the mission of accelerating internal technological innovation connecting, collaborating and investing in startups. The focus is to capture and enhance business opportunities between startups and Telefónica that arise with the arrival of 5G, the internet of things (IoT), artificial intelligence (AI), Metaverse, advanced data analysis, robotics and cloud computing, among other technologies"
